day_date;category;amount_cents;details;id
"2019-06-25";"Other";8,65;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1272
"2019-06-26";"Housing";14,74;"Detail 955";1273
"2019-06-27";"Transportation";22,59;"Detail 956";1274
"2019-06-28";"Food";19,01;"Detail 957";1275
"2019-06-29";"Utilities";1,93;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1276
"2019-06-30";"Insurance";28,69;"Detail 958";1277
"2019-07-01";"Health";10,27;"Detail 959";1278
"2019-07-02";"Saving";12,98;"Detail 960";1279
"2019-07-03";"Other";7,64;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1280
"2019-07-04";"Housing";14,19;"Detail 961";1281
"2019-07-05";"Transportation";12,34;"Detail 962";1282
"2019-07-06";"Food";8,07;"Detail 963";1283
"2019-07-07";"Utilities";9,53;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1284
"2019-07-08";"Insurance";18,32;"Detail 964";1285
"2019-07-09";"Health";27,57;"Detail 965";1286
"2019-07-10";"Saving";26,57;"Detail 966";1287
"2019-07-11";"Other";25,13;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1288
"2019-07-12";"Housing";4,16;"Detail 967";1289
"2019-07-13";"Transportation";11,67;"Detail 968";1290
"2019-07-14";"Food";25,23;"Detail 969";1291
"2019-07-15";"Utilities";4,91;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1292
"2019-07-16";"Insurance";1,01;"Detail 970";1293
"2019-07-17";"Health";29,5;"Detail 971";1294
"2019-07-18";"Saving";15,5;"Detail 972";1295
"2019-07-19";"Other";25,03;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1296
"2019-07-20";"Housing";14,99;"Detail 973";1297
"2019-07-21";"Transportation";18,03;"Detail 974";1298
"2019-07-22";"Food";29,26;"Detail 975";1299
"2019-07-23";"Utilities";10,42;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1300
"2019-07-24";"Insurance";27,09;"Detail 976";1301
"2019-07-25";"Health";19,89;"Detail 977";1302
"2019-07-26";"Saving";28,82;"Detail 978";1303
"2019-07-27";"Other";25,04;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1304
"2019-07-28";"Housing";4,95;"Detail 979";1305
"2019-07-29";"Transportation";26,84;"Detail 980";1306
"2019-07-30";"Food";24,91;"Detail 981";1307
"2019-07-31";"Utilities";4,59;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1308
"2019-08-01";"Insurance";27,55;"Detail 982";1309
"2019-08-02";"Health";8,49;"Detail 983";1310
"2019-08-03";"Saving";7,34;"Detail 984";1311
"2019-08-04";"Other";1,85;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1312
"2019-08-05";"Housing";9,95;"Detail 985";1313
"2019-08-06";"Transportation";15,11;"Detail 986";1314
"2019-08-07";"Food";19,91;"Detail 987";1315
"2019-08-08";"Utilities";15,68;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1316
"2019-08-09";"Insurance";7,96;"Detail 988";1317
"2019-08-10";"Health";12,6;"Detail 989";1318
"2019-08-11";"Saving";5,19;"Detail 990";1319
"2019-08-12";"Other";0,08;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1320
"2019-08-13";"Housing";6,54;"Detail 991";1321
"2019-08-14";"Transportation";7,07;"Detail 992";1322
"2019-08-15";"Food";22,64;"Detail 993";1323
"2019-08-16";"Utilities";25,8;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1324
"2019-08-17";"Insurance";17,51;"Detail 994";1325
"2019-08-18";"Health";28,96;"Detail 995";1326
"2019-08-19";"Saving";17,67;"Detail 996";1327
"2019-08-20";"Other";6,51;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1328
"2019-08-21";"Housing";20,08;"Detail 997";1329
"2019-08-22";"Transportation";26,03;"Detail 998";1330
"2019-08-23";"Food";20,41;"Detail 999";1331
"2019-08-24";"Utilities";20,02;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1332
"2019-08-25";"Insurance";3,01;"Detail 1000";1333
"2019-08-26";"Health";23,72;"Detail 1001";1334
"2019-08-27";"Saving";27,96;"Detail 1002";1335
"2019-08-28";"Other";17,67;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1336
"2019-08-29";"Housing";1,14;"Detail 1003";1337
"2019-08-30";"Transportation";5,84;"Detail 1004";1338
"2019-08-31";"Food";15,59;"Detail 1005";1339
"2019-09-01";"Utilities";0,33;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1340
"2019-09-02";"Insurance";27,03;"Detail 1006";1341
"2019-09-03";"Health";15,57;"Detail 1007";1342
"2019-09-04";"Saving";7,6;"Detail 1008";1343
"2019-09-05";"Other";5,31;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1344
"2019-09-06";"Housing";27,25;"Detail 1009";1345
"2019-09-07";"Transportation";25,82;"Detail 1010";1346
"2019-09-08";"Food";7,56;"Detail 1011";1347
"2019-09-09";"Utilities";26,61;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1348
"2019-09-10";"Insurance";17,14;"Detail 1012";1349
"2019-09-11";"Health";6,29;"Detail 1013";1350
"2019-09-12";"Saving";26,45;"Detail 1014";1351
"2019-09-13";"Other";5,96;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1352
"2019-09-14";"Housing";28,67;"Detail 1015";1353
"2019-09-15";"Transportation";16,98;"Detail 1016";1354
"2019-09-16";"Food";12,75;"Detail 1017";1355
"2019-09-17";"Utilities";20,87;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1356
"2019-09-18";"Insurance";11,65;"Detail 1018";1357
"2019-09-19";"Health";29,11;"Detail 1019";1358
"2019-09-20";"Saving";25,6;"Detail 1020";1359
"2019-09-21";"Other";22,18;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1360
"2019-09-22";"Housing";28,97;"Detail 1021";1361
"2019-09-23";"Transportation";0,1;"Detail 1022";1362
"2019-09-24";"Food";27,31;"Detail 1023";1363
"2019-09-25";"Utilities";17,78;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1364
"2019-09-26";"Insurance";17,89;"Detail 1024";1365
"2019-09-27";"Health";19,61;"Detail 1025";1366
"2019-09-28";"Saving";9,92;"Detail 1026";1367
"2019-09-29";"Other";28,59;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1368
"2019-09-30";"Housing";4,82;"Detail 1027";1369
"2019-10-01";"Transportation";22,25;"Detail 1028";1370
"2019-10-02";"Food";22,53;"Detail 1029";1371
"2019-10-03";"Utilities";27,95;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1372
"2019-10-04";"Insurance";12,38;"Detail 1030";1373
"2019-10-05";"Health";28,58;"Detail 1031";1374
"2019-10-06";"Saving";6,39;"Detail 1032";1375
"2019-10-07";"Other";10,56;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1376
"2019-10-08";"Housing";17,08;"Detail 1033";1377
"2019-10-09";"Transportation";8,39;"Detail 1034";1378
"2019-10-10";"Food";6,85;"Detail 1035";1379
"2019-10-11";"Utilities";12,62;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1380
"2019-10-12";"Insurance";11,83;"Detail 1036";1381
"2019-10-13";"Health";19,37;"Detail 1037";1382
"2019-10-14";"Saving";1,24;"Detail 1038";1383
"2019-10-15";"Other";13,37;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1384
"2019-10-16";"Housing";29,85;"Detail 1039";1385
"2019-10-17";"Transportation";24,53;"Detail 1040";1386
"2019-10-18";"Food";3,55;"Detail 1041";1387
"2019-10-19";"Utilities";6,59;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1388
"2019-10-20";"Insurance";28,34;"Detail 1042";1389
"2019-10-21";"Health";17,1;"Detail 1043";1390
"2019-10-22";"Saving";2,63;"Detail 1044";1391
"2019-10-23";"Other";22,9;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1392
"2019-10-24";"Housing";1,18;"Detail 1045";1393
"2019-10-25";"Transportation";26,37;"Detail 1046";1394
"2019-10-26";"Food";18,83;"Detail 1047";1395
"2019-10-27";"Utilities";0,38;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1396
"2019-10-28";"Insurance";24,66;"Detail 1048";1397
"2019-10-29";"Health";28,59;"Detail 1049";1398
"2019-10-30";"Saving";8,12;"Detail 1050";1399
"2019-10-31";"Other";20,11;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1400
"2019-11-01";"Housing";2,4;"Detail 1051";1401
"2019-11-02";"Transportation";6,8;"Detail 1052";1402
"2019-11-03";"Food";11,24;"Detail 1053";1403
"2019-11-04";"Utilities";5,66;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1404
"2019-11-05";"Insurance";14,43;"Detail 1054";1405
"2019-11-06";"Health";5,69;"Detail 1055";1406
"2019-11-07";"Saving";22,61;"Detail 1056";1407
"2019-11-08";"Other";0,54;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1408
"2019-11-09";"Housing";1,5;"Detail 1057";1409
"2019-11-10";"Transportation";8,26;"Detail 1058";1410
"2019-11-11";"Food";0,21;"Detail 1059";1411
"2019-11-12";"Utilities";19,42;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1412
"2019-11-13";"Insurance";26;"Detail 1060";1413
"2019-11-14";"Health";21,09;"Detail 1061";1414
"2019-11-15";"Saving";3,76;"Detail 1062";1415
"2019-11-16";"Other";11,99;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1416
"2019-11-17";"Housing";0,2;"Detail 1063";1417
"2019-11-18";"Transportation";29,4;"Detail 1064";1418
"2019-11-19";"Food";20,92;"Detail 1065";1419
"2019-11-20";"Utilities";7,33;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1420
"2019-11-21";"Insurance";1,11;"Detail 1066";1421
"2019-11-22";"Health";4,45;"Detail 1067";1422
"2019-11-23";"Saving";22,37;"Detail 1068";1423
"2019-11-24";"Other";21,56;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1424
"2019-11-25";"Housing";3,32;"Detail 1069";1425
"2019-11-26";"Transportation";21,13;"Detail 1070";1426
"2019-11-27";"Food";3,58;"Detail 1071";1427
"2019-11-28";"Utilities";17,95;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1428
"2019-11-29";"Insurance";20,26;"Detail 1072";1429
"2019-11-30";"Health";20,3;"Detail 1073";1430
"2019-12-01";"Saving";2,75;"Detail 1074";1431
"2019-12-02";"Other";4,26;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1432
"2019-12-03";"Housing";12,86;"Detail 1075";1433
"2019-12-04";"Transportation";3,84;"Detail 1076";1434
"2019-12-05";"Food";29,57;"Detail 1077";1435
"2019-12-06";"Utilities";19,5;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1436
"2019-12-07";"Insurance";0,32;"Detail 1078";1437
"2019-12-08";"Health";26,2;"Detail 1079";1438
"2019-12-09";"Saving";28,97;"Detail 1080";1439
"2019-12-10";"Other";25,91;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1440
"2019-12-11";"Housing";28,48;"Detail 1081";1441
"2019-12-12";"Transportation";25,36;"Detail 1082";1442
"2019-12-13";"Food";12,87;"Detail 1083";1443
"2019-12-14";"Utilities";2,62;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1444
"2019-12-15";"Insurance";5,64;"Detail 1084";1445
"2019-12-16";"Health";25,54;"Detail 1085";1446
"2019-12-17";"Saving";13,72;"Detail 1086";1447
"2019-12-18";"Other";17,98;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1448
"2019-12-19";"Housing";28,84;"Detail 1087";1449
"2019-12-20";"Transportation";3,19;"Detail 1088";1450
"2019-12-21";"Food";19,68;"Detail 1089";1451
"2019-12-22";"Utilities";3,77;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1452
"2019-12-23";"Insurance";1,36;"Detail 1090";1453
"2019-12-24";"Health";12,48;"Detail 1091";1454
"2019-12-25";"Saving";21,27;"Detail 1092";1455
"2019-12-26";"Other";7,86;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1456
"2019-12-27";"Housing";6,25;"Detail 1093";1457
"2019-12-28";"Transportation";11,41;"Detail 1094";1458
"2019-12-29";"Food";4,88;"Detail 1095";1459
"2019-12-30";"Utilities";17,24;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1460
"2019-12-31";"Insurance";5,1;"Detail 1096";1461
"2020-01-01";"Health";26,19;"Detail 1097";1462
"2020-01-02";"Saving";10,48;"Detail 1098";1463
"2020-01-03";"Other";29,31;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1464
"2020-01-04";"Housing";25,64;"Detail 1099";1465
"2020-01-05";"Transportation";17,24;"Detail 1100";1466
"2020-01-06";"Food";11,26;"Detail 1101";1467
"2020-01-07";"Utilities";10,37;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1468
"2020-01-08";"Insurance";21,81;"Detail 1102";1469
"2020-01-09";"Health";29,83;"Detail 1103";1470
"2020-01-10";"Saving";24,54;"Detail 1104";1471
"2020-01-11";"Other";25,42;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1472
"2020-01-12";"Housing";14,34;"Detail 1105";1473
"2020-01-13";"Transportation";15,43;"Detail 1106";1474
"2020-01-14";"Food";27,13;"Detail 1107";1475
"2020-01-15";"Utilities";17,5;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1476
"2020-01-16";"Insurance";7,61;"Detail 1108";1477
"2020-01-17";"Health";14,55;"Detail 1109";1478
"2020-01-18";"Saving";1,65;"Detail 1110";1479
"2020-01-19";"Other";25,59;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1480
"2020-01-20";"Housing";23,63;"Detail 1111";1481
"2020-01-21";"Transportation";29,76;"Detail 1112";1482
"2020-01-22";"Food";9,13;"Detail 1113";1483
"2020-01-23";"Utilities";12,58;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1484
"2020-01-24";"Insurance";21,71;"Detail 1114";1485
"2020-01-25";"Health";9,5;"Detail 1115";1486
"2020-01-26";"Saving";2,18;"Detail 1116";1487
"2020-01-27";"Other";5,37;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1488
"2020-01-28";"Housing";4,62;"Detail 1117";1489
"2020-01-29";"Transportation";25,04;"Detail 1118";1490
"2020-01-30";"Food";29,47;"Detail 1119";1491
"2020-01-31";"Utilities";21,34;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1492
"2020-02-01";"Insurance";17,19;"Detail 1120";1493
"2020-02-02";"Health";4,1;"Detail 1121";1494
"2020-02-03";"Saving";17,7;"Detail 1122";1495
"2020-02-04";"Other";29,22;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1496
"2020-02-05";"Housing";10,01;"Detail 1123";1497
"2020-02-06";"Transportation";16,74;"Detail 1124";1498
"2020-02-07";"Food";22,46;"Detail 1125";1499
"2020-02-08";"Utilities";19,32;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1500
"2020-02-09";"Insurance";27,27;"Detail 1126";1501
"2020-02-10";"Health";19,66;"Detail 1127";1502
"2020-02-11";"Saving";5,78;"Detail 1128";1503
"2020-02-12";"Other";2,18;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1504
"2020-02-13";"Housing";16,75;"Detail 1129";1505
"2020-02-14";"Transportation";13,65;"Detail 1130";1506
"2020-02-15";"Food";9,39;"Detail 1131";1507
"2020-02-16";"Utilities";11,81;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1508
"2020-02-17";"Insurance";7,6;"Detail 1132";1509
"2020-02-18";"Health";8,7;"Detail 1133";1510
"2020-02-19";"Saving";27,12;"Detail 1134";1511
"2020-02-20";"Other";0,6;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1512
"2020-02-21";"Housing";17,04;"Detail 1135";1513
"2020-02-22";"Transportation";18,83;"Detail 1136";1514
"2020-02-23";"Food";1,7;"Detail 1137";1515
"2020-02-24";"Utilities";8,48;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1516
"2020-02-25";"Insurance";11,97;"Detail 1138";1517
"2020-02-26";"Health";25,43;"Detail 1139";1518
"2020-02-27";"Saving";24,87;"Detail 1140";1519
"2020-02-28";"Other";11,93;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1520
"2020-02-29";"Housing";22,65;"Detail 1141";1521
"2020-03-01";"Transportation";18,23;"Detail 1142";1522
"2020-03-02";"Food";29,56;"Detail 1143";1523
"2020-03-03";"Utilities";15,43;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1524
"2020-03-04";"Insurance";16,94;"Detail 1144";1525
"2020-03-05";"Health";1,44;"Detail 1145";1526
"2020-03-06";"Saving";13,53;"Detail 1146";1527
"2020-03-07";"Other";7,35;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1528
"2020-03-08";"Housing";9,27;"Detail 1147";1529
"2020-03-09";"Transportation";17,93;"Detail 1148";1530
"2020-03-10";"Food";18,66;"Detail 1149";1531
"2020-03-11";"Utilities";3,4;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1532
"2020-03-12";"Insurance";12,36;"Detail 1150";1533
"2020-03-13";"Health";7,38;"Detail 1151";1534
"2020-03-14";"Saving";26,13;"Detail 1152";1535
